facility_id,facility_first_case,facility_cases_cumulative_max,facility_cases_current_latest,facility_name,city,state,zip,lat,lng,facility_listed
BERGENJ,2020-03-24,26.0,0.0,BERGEN COUNTY JAIL,HACKENSACK,NJ,07601,40.87387304999999,-74.03904222999999,Bergen County Jail
BERGENJ,2020-03-24,26.0,0.0,BERGEN COUNTY JAIL,HACKENSACK,NJ,07601,40.87387304999999,-74.03904222999999,"Bergen County Jail (Hackensack, NJ)"
ESSEXNJ,2020-03-26,24.0,0.0,ESSEX COUNTY CORRECTIONAL FACILITY,NEWARK,NJ,07105,40.701514100000004,-74.1371458,"Essex County Correctional Facility (Newark, NJ)"
ESSEXNJ,2020-03-26,24.0,0.0,ESSEX COUNTY CORRECTIONAL FACILITY,NEWARK,NJ,07105,40.701514100000004,-74.1371458,Essex County Jail
HUDSONJ,2020-03-30,14.0,0.0,HUDSON COUNTY CORRECTIONAL CENTER,KEARNY,NJ,07032,40.72991000000001,-74.10339799999998,Hudson County Jail
HUDSONJ,2020-03-30,14.0,0.0,HUDSON COUNTY CORRECTIONAL CENTER,KEARNY,NJ,07032,40.72991000000001,-74.10339799999998,"Hudson County Jail (Kearny, NJ)"
MTGPCTX,2020-03-30,873.0,21.0,MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,77301,30.34444,-95.44922000000003,"Montgomery Processing (Houston, TX)"
MTGPCTX,2020-03-30,873.0,21.0,MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,77301,30.34444,-95.44922000000003,"Montgomery Processing Center (Conroe, TX)"
MTGPCTX,2020-03-30,873.0,21.0,MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,77301,30.34444,-95.44922000000003,Montgomery Processing Center (Houston)
LPAPSAZ,2020-04-01,2983.0,27.0,LA PALMA CORRECTION CENTER - APSO,ELOY,AZ,85131,32.65,-111.59,La Palma Correctional Facility
LPAPSAZ,2020-04-01,2983.0,27.0,LA PALMA CORRECTION CENTER - APSO,ELOY,AZ,85131,32.65,-111.59,"La Palma Correctional Facility (Eloy, AZ)"
PIKCOPA,2020-04-03,45.0,0.0,PIKE COUNTY CORRECTIONAL FACILITY,LORDS VALLEY,PA,18428,41.38881,-75.071465,Pike County Correctional Facility
PIKCOPA,2020-04-03,45.0,0.0,PIKE COUNTY CORRECTIONAL FACILITY,LORDS VALLEY,PA,18428,41.38881,-75.071465,"Pike County Correctional Facility (Hawley, PA)"
PINEPLA,2020-04-03,228.0,1.0,PINE PRAIRIE ICE PROCESSING CENTER,PINE PRAIRIE,LA,70576,30.781743999999996,-92.41968000000001,Pine Prairie ICE Processing Center
PINEPLA,2020-04-03,228.0,1.0,PINE PRAIRIE ICE PROCESSING CENTER,PINE PRAIRIE,LA,70576,30.781743999999996,-92.41968000000001,"Pine Prairie Processing Center (Pine Prairie, LA)"
CCASDCA,2020-04-04,997.0,2.0,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA,92154,32.57652475,-116.9154777,Otay Mesa Detention Center (San Diego CDF)
CCASDCA,2020-04-04,997.0,2.0,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA,92154,32.57652475,-116.9154777,"Otay Mesa Detention Center (San Diego, CA)"
CCASDCA,2020-04-04,997.0,2.0,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA,92154,32.57652475,-116.9154777,Otay Mesa Detention Center (San Diego CDF) thru 9/4/2020
YORCOPA,2020-04-04,352.0,0.0,YORK COUNTY PRISON,YORK,PA,17402,39.98759739999999,-76.66360293,York County Prison
YORCOPA,2020-04-04,352.0,0.0,YORK COUNTY PRISON,YORK,PA,17402,39.98759739999999,-76.66360293,"York County Prison (York, PA)"
"local hospital (Miami, FL)",2020-04-07,1.0,,LOCAL HOSPITAL,MIAMI,FL,NA,25.782339999999994,-80.36954,"local hospital (Miami, FL)"
OLACCLA,2020-04-07,25.0,0.0,LASALLE CORR CTR OLLA,OLLA,LA,71465,31.85131,-92.28482000000001,"LaSalle Correctional Center (Olla, LA)"
OLACCLA,2020-04-07,25.0,0.0,LASALLE CORR CTR OLLA,OLLA,LA,71465,31.85131,-92.28482000000001,LaSalle ICE Processing Center - Olla
OLACCLA,2020-04-07,25.0,0.0,LASALLE CORR CTR OLLA,OLLA,LA,71465,31.85131,-92.28482000000001,"LaSalle Processing Center - Olla (Olla, LA)"
STCLAMI,2020-04-07,17.0,0.0,SAINT CLAIR COUNTY JAIL,PORT HURON,MI,48060,42.94196024,-82.48124175000001,Saint Clair County Jail
STCLAMI,2020-04-07,17.0,0.0,SAINT CLAIR COUNTY JAIL,PORT HURON,MI,48060,42.94196024,-82.48124175000001,"Saint Clair County Jail (Huron, MI)"
STCLAMI,2020-04-07,17.0,0.0,SAINT CLAIR COUNTY JAIL,PORT HURON,MI,48060,42.94196024,-82.48124175000001,"St. Clair County Jail (Huron, MI)"
ELZICDF,2020-04-08,182.0,3.0,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,07201,40.66615695000001,-74.18969352,Elizabeth Detention Center
ELZICDF,2020-04-08,182.0,3.0,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,07201,40.66615695000001,-74.18969352,"Elizabeth Detention Center (Elizabeth, NJ)"
BTV,2020-04-09,215.0,2.0,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,14020,43.020404,-78.20269400000001,Buffalo (Batavia) Service Processing Center
BTV,2020-04-09,215.0,2.0,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,14020,43.020404,-78.20269400000001,"Buffalo Federal Detention Facility (Batavia, NY)"
BTV,2020-04-09,215.0,2.0,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,14020,43.020404,-78.20269400000001,"Buffalo Federal Detention Facility (Buffalo, NY)"
FLO,2020-04-09,273.0,2.0,FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,85132,33.0649605,-111.37850479999999,Florence Detention Center
FLO,2020-04-09,273.0,2.0,FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,85132,33.0649605,-111.37850479999999,"Florence Detention Center (Florence, AZ)"
KRO,2020-04-09,397.0,1.0,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,33194,25.762581799999996,-80.19302400000001,"Krome Detention Center (Miami, FL)"
KRO,2020-04-09,397.0,1.0,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,33194,25.762581799999996,-80.19302400000001,Krome North Service Processing Center
LAWINCI,2020-04-09,669.0,13.0,WINN CORRECTIONAL CENTER,WINNFIELD,LA,71483,31.84957,-92.80151000000001,Winn Correctional Center
LAWINCI,2020-04-09,669.0,13.0,WINN CORRECTIONAL CENTER,WINNFIELD,LA,71483,31.84957,-92.80151000000001,"Winn Correctional Center (Winnfield, LA)"
STWRTGA,2020-04-09,1513.0,49.0,STEWART DETENTION CENTER,LUMPKIN,GA,31815,32.036676,-84.771746,Stewart Detention Center
STWRTGA,2020-04-09,1513.0,49.0,STEWART DETENTION CENTER,LUMPKIN,GA,31815,32.036676,-84.771746,"Stewart Detention Center (Lumpkin, GA)"
IRWINGA,2020-04-10,146.0,0.0,IRWIN COUNTY DETENTION CENTER,OCILLA,GA,31772,31.580997229999998,-83.25462794000002,Irwin County Detention Center
IRWINGA,2020-04-10,146.0,0.0,IRWIN COUNTY DETENTION CENTER,OCILLA,GA,31772,31.580997229999998,-83.25462794000002,"Irwin County Detention Center (Ocilla, GA)"
OTRPCNM,2020-04-10,927.0,18.0,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,88081,32.08042,-106.28262000000001,Otero County Processing Center
OTRPCNM,2020-04-10,927.0,18.0,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,88081,32.08042,-106.28262000000001,"Otero County Processing Center (Chaparral, NM)"
PULASIL,2020-04-10,118.0,0.0,PULASKI COUNTY JAIL,ULLIN,IL,62992,37.272085000000004,-89.17513299999999,Pulaski County Detention Center
PULASIL,2020-04-10,118.0,0.0,PULASKI COUNTY JAIL,ULLIN,IL,62992,37.272085000000004,-89.17513299999999,"Pulaski County Detention Center (Ullin, IL)"
RWCCMLA,2020-04-10,576.0,2.0,RICHWOOD CORRECTIONAL CENTER,RICHWOOD,LA,71202,32.46343,-92.0874,Richwood Correctional Center
RWCCMLA,2020-04-10,576.0,2.0,RICHWOOD CORRECTIONAL CENTER,RICHWOOD,LA,71202,32.46343,-92.0874,"Richwood Correctional Center (Monroe, LA)"
ADAMSMS,2020-04-13,1210.0,0.0,ADAMS COUNTY DET CENTER,NATCHEZ,MS,39120,31.56918,-91.23047,Adams County Correctional Center
ADAMSMS,2020-04-13,1210.0,0.0,ADAMS COUNTY DET CENTER,NATCHEZ,MS,39120,31.56918,-91.23047,"Adams County Correctional Center (Natchez, MS)"
ADAMSMS,2020-04-13,1210.0,0.0,ADAMS COUNTY DET CENTER,NATCHEZ,MS,39120,31.56918,-91.23047,403
POLKCTX,2020-04-13,1406.0,26.0,IAH SECURE ADULT DETENTION FACILITY (POLK),LIVINGSTON,TX,77351,30.698150000000002,-95.00578999999999,IAH Polk Adult Detention Facility
POLKCTX,2020-04-13,1406.0,26.0,IAH SECURE ADULT DETENTION FACILITY (POLK),LIVINGSTON,TX,77351,30.698150000000002,-95.00578999999999,"IAH Secure Adult Detention Facility (Livingston, TX)"
JENADLA,2020-04-14,529.0,8.0,LASALLE ICE PROCESSING CENTER (JENA),JENA,LA,71342,31.70727,-92.15106,LaSalle ICE Processing Center - Jena
JENADLA,2020-04-14,529.0,8.0,LASALLE ICE PROCESSING CENTER (JENA),JENA,LA,71342,31.70727,-92.15106,"LaSalle Processing Center - Jena (Jena, LA)"
JENADLA,2020-04-14,529.0,8.0,LASALLE ICE PROCESSING CENTER (JENA),JENA,LA,71342,31.70727,-92.15106,"LaSalle Processing Center (Jena, LA)"
PRLDCTX,2020-04-15,602.0,2.0,PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,76009,32.420785390000006,-97.19690234,"Prairieland Detention Center (Alvarado, TX)"
PRLDCTX,2020-04-15,602.0,2.0,PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,76009,32.420785390000006,-97.19690234,Prairieland Detention Facility
PRLDCTX,2020-04-15,602.0,2.0,PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,76009,32.420785390000006,-97.19690234,"Prarieland Detention Center (Alvarado, LA)"
RVRCCLA,2020-04-16,117.0,0.0,RIVER CORRECTIONAL CENTER,FERRIDAY,LA,71334,31.585629999999995,-91.55723,River Correctional Center
RVRCCLA,2020-04-16,117.0,0.0,RIVER CORRECTIONAL CENTER,FERRIDAY,LA,71334,31.585629999999995,-91.55723,"River Correctional Center (Ferriday, LA)"
CATAHLA,2020-04-20,119.0,0.0,CATAHOULA CORRECTIONAL CENTER,HARRISONBURG,LA,71430,31.860451,-91.96221500000001,Catahoula Correctional Center
CATAHLA,2020-04-20,119.0,0.0,CATAHOULA CORRECTIONAL CENTER,HARRISONBURG,LA,71430,31.860451,-91.96221500000001,"Catahoula Correctional Center (Harrisonburg, LA)"
EPC,2020-04-20,1180.0,20.0,EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,79925,31.796447349999998,-106.3696513,"El Paso Processing Center (El Paso, TX)"
EPC,2020-04-20,1180.0,20.0,EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,79925,31.796447349999998,-106.3696513,El Paso Service Processing Center
CARDFVA,2020-04-21,149.0,0.0,CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,22427,38.11727,-77.27783,Caroline Detention Facility
CARDFVA,2020-04-21,149.0,0.0,CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,22427,38.11727,-77.27783,"Caroline Detention Facility (Bowling Green, VA)"
BLBNATX,2020-04-22,883.0,1.0,BLUEBONNET DETENTION FACILITY,ANSON,TX,79501,32.778040000000004,-99.90967,Bluebonnet Detention Facility
BLBNATX,2020-04-22,883.0,1.0,BLUEBONNET DETENTION FACILITY,ANSON,TX,79501,32.778040000000004,-99.90967,"Bluebonnet Detention Facility (Anson, TX)"
STCDFTX,2020-04-24,1539.0,87.0,SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,78061,28.888468,-99.09005,South Texas ICE Processing Center (Pearsall)
STCDFTX,2020-04-24,1539.0,87.0,SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,78061,28.888468,-99.09005,"South Texas Processing Center (Pearsall, TX)"
MOROWOH,2020-04-27,51.0,0.0,MORROW COUNTY CORRECTIONAL FACILITY,MOUNT GILEAD,OH,43338,40.5599306,-82.80671784999998,Morrow County Correctional Facility
MOROWOH,2020-04-27,51.0,0.0,MORROW COUNTY CORRECTIONAL FACILITY,MOUNT GILEAD,OH,43338,40.5599306,-82.80671784999998,"Morrow County Correctional Facility (Mount Gilead, OH)"
WYATTRI,2020-04-27,60.0,0.0,WYATT DETENTION CENTER,CENTRAL FALLS,RI,02863,41.89281058,-71.38319984,Wyatt Detention Center
WYATTRI,2020-04-27,60.0,0.0,WYATT DETENTION CENTER,CENTRAL FALLS,RI,02863,41.89281058,-71.38319984,"Wyatt Detention Center (Central Falls, RI)"
JCRLYTX,2020-04-28,673.0,17.0,JOE CORLEY ICE PROCESSING CENTER,CONROE,TX,77301,30.34444,-95.46021000000002,Joe Corley Detention Center
JCRLYTX,2020-04-28,673.0,17.0,JOE CORLEY ICE PROCESSING CENTER,CONROE,TX,77301,30.34444,-95.46021000000002,"Joe Corley Detention Center (Conroe, TX)"
ETOWAAL,2020-05-01,77.0,2.0,ETOWAH COUNTY JAIL (ALABAMA),GADSDEN,AL,35901,34.01573709,-86.01193282999999,"Etowah County Detention Center (Gadsden, AL)"
ETOWAAL,2020-05-01,77.0,2.0,ETOWAH COUNTY JAIL (ALABAMA),GADSDEN,AL,35901,34.01573709,-86.01193282999999,Etowah County Jail
FRMVLVA,2020-05-04,340.0,1.0,IMMIGRATION CENTERS OF AMERICA FARMVILLE,FARMVILLE,VA,23901,37.319500999999995,-78.438276,"Farmville Detention Center (Farmville, VA)"
FRMVLVA,2020-05-04,340.0,1.0,IMMIGRATION CENTERS OF AMERICA FARMVILLE,FARMVILLE,VA,23901,37.319500999999995,-78.438276,Immigration Centers of America - Farmville
HASKLTX,2020-05-04,66.0,0.0,ROLLING PLAINS DETENTION CENTER,HASKELL,TX,79521,33.1762715,-99.72178917,Rolling Plains Detention Center
HASKLTX,2020-05-04,66.0,0.0,ROLLING PLAINS DETENTION CENTER,HASKELL,TX,79521,33.1762715,-99.72178917,"Rolling Plains Detention Facility (Haskell, TX)"
JAMESGA,2020-05-04,399.0,45.0,MAIN - FOLKSTON IPC (D RAY JAMES),FOLKSTON,GA,31537,30.87209,-81.98246999999999,Folkston ICE Processing Center (Main)
JAMESGA,2020-05-04,399.0,45.0,MAIN - FOLKSTON IPC (D RAY JAMES),FOLKSTON,GA,31537,30.87209,-81.98246999999999,Folkston ICE Processing Center (D. Ray James)
JAMESGA,2020-05-04,399.0,45.0,MAIN - FOLKSTON IPC (D RAY JAMES),FOLKSTON,GA,31537,30.87209,-81.98246999999999,Folkston ICE Processing Centerb (D. Ray James)
JAMESGA,2020-05-04,399.0,45.0,MAIN - FOLKSTON IPC (D RAY JAMES),FOLKSTON,GA,31537,30.87209,-81.98246999999999,"Folkston Processing Center (Folkston, GA)"
WEBDCTX,2020-05-05,356.0,49.0,WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,78046,27.370089,-99.489808,Webb County Detention Center (CCA)
WEBDCTX,2020-05-05,356.0,49.0,WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,78046,27.370089,-99.489808,"Webb County Detention Center (Laredo, TX)"
WEBDCTX,2020-05-05,356.0,49.0,WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,78046,27.370089,-99.489808,14
BRINDMA,2020-05-06,9.0,0.0,BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,MA,02747,41.66533290000002,-70.9957847,Bristol County Detention Center
BRINDMA,2020-05-06,9.0,0.0,BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,MA,02747,41.66533290000002,-70.9957847,"Bristol County House of Corrections (North Dartmouth, MA)"
HOUICDF,2020-05-06,1130.0,5.0,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,TX,77032,29.95083585,-95.31218808,Houston Contract Detention Facility
HOUICDF,2020-05-06,1130.0,5.0,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,TX,77032,29.95083585,-95.31218808,"Houston Contract Detention Facility (Houston, TX)"
WCCPBFL,2020-05-06,477.0,3.0,BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,33073,26.27477215,-80.15197144999999,Broward Transitional Center
WCCPBFL,2020-05-06,477.0,3.0,BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,33073,26.27477215,-80.15197144999999,"Broward Transitional Center (Pompano Beach, FL)"
LINCOMO,2020-05-13,1.0,0.0,LINCOLN COUNTY DETENTION CENTER,TROY,MO,63379,38.97101443,-90.96348024000001,Lincoln County Detention Center
LINCOMO,2020-05-13,1.0,0.0,LINCOLN COUNTY DETENTION CENTER,TROY,MO,63379,38.97101443,-90.96348024000001,"Lincoln County Detention Center (Troy, MO)"
PIC,2020-05-13,1832.0,7.0,PORT ISABEL,LOS FRESNOS,TX,78566,26.155046,-97.33829,Port Isabel Detention Center
